severity,category,check,file,line,element,measure_n,staff_n,layer_n,xml_id,message,expected,actual,context
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_app_01_suite_to_op1_04_corr.mei,181,layer,1,1,,vhya28m,Layer is underfull against the active meter.,16,4,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_app_01_suite_to_op1_04_corr.mei,189,layer,1,2,,t54ha9b,Layer is underfull against the active meter.,16,4,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_app_01_suite_to_op1_04_corr.mei,197,layer,1,3,,paqevbv,Layer is underfull against the active meter.,16,4,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_app_01_suite_to_op1_04_corr.mei,202,layer,1,4,,whq5nt6,Layer is underfull against the active meter.,16,4,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_app_01_suite_to_op1_04_corr.mei,211,layer,1,5,,dzal31q,Layer is underfull against the active meter.,16,4,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_app_01_suite_to_op1_04_corr.mei,1031,layer,9,1,,yl9h6a2,Layer is underfull against the active meter.,16,12,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_app_01_suite_to_op1_04_corr.mei,1046,layer,9,2,,y14lrpdw,Layer is underfull against the active meter.,16,12,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_app_01_suite_to_op1_04_corr.mei,1053,layer,9,3,,o1tca3hd,Layer is underfull against the active meter.,16,12,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_app_01_suite_to_op1_04_corr.mei,1060,layer,9,4,,p1aivme3,Layer is underfull against the active meter.,16,12,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_app_01_suite_to_op1_04_corr.mei,1079,layer,9,5,,do1477a,Layer is underfull against the active meter.,16,12,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_app_01_suite_to_op1_04_corr.mei,1089,layer,10,1,,vg13aee,Layer is underfull against the active meter.,16,4,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_app_01_suite_to_op1_04_corr.mei,1097,layer,10,2,,ox2z346,Layer is underfull against the active meter.,16,4,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_app_01_suite_to_op1_04_corr.mei,1105,layer,10,3,,d1gbdr2c,Layer is underfull against the active meter.,16,4,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_app_01_suite_to_op1_04_corr.mei,1113,layer,10,4,,u1o8n37w,Layer is underfull against the active meter.,16,4,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_app_01_suite_to_op1_04_corr.mei,1122,layer,10,5,,z1p5sto5,Layer is underfull against the active meter.,16,4,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_app_01_suite_to_op1_04_corr.mei,1982,layer,19,1,,grl7wa4,Layer is underfull against the active meter.,12,4,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_app_01_suite_to_op1_04_corr.mei,1990,layer,19,2,,m1wtcm03,Layer is underfull against the active meter.,12,4,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_app_01_suite_to_op1_04_corr.mei,1998,layer,19,3,,g1uggojn,Layer is underfull against the active meter.,12,4,No <space> found in this layer; a missing space/rest is a likely cause.
