severity,category,check,file,line,element,measure_n,staff_n,layer_n,xml_id,message,expected,actual,context
error,publication,cmn_relaxng_pi,buxtehude_app_02_sonata_2violins_gamba_cembalo_c_major_full.mei,5,mei,,,,,Publication MEI is missing its MEI 5.1 CMN RELAX NG xml-model declaration.,https://music-encoding.org/schema/5.1/mei-CMN.rng,"href=""https://music-encoding.org/schema/5.1/mei-all.rng"" type=""application/xml"" schematypens=""http://relaxng.org/ns/structure/1.0"" | href=""https://music-encoding.org/schema/5.1/mei-all.rng"" type=""application/xml"" schematypens=""http://purl.oclc.org/dsdl/schematron""",
error,publication,cmn_schematron_pi,buxtehude_app_02_sonata_2violins_gamba_cembalo_c_major_full.mei,5,mei,,,,,Publication MEI is missing its MEI 5.1 CMN Schematron xml-model declaration.,https://music-encoding.org/schema/5.1/mei-CMN.rng,"href=""https://music-encoding.org/schema/5.1/mei-all.rng"" type=""application/xml"" schematypens=""http://relaxng.org/ns/structure/1.0"" | href=""https://music-encoding.org/schema/5.1/mei-all.rng"" type=""application/xml"" schematypens=""http://purl.oclc.org/dsdl/schematron""",
error,facsimile,page_break_per_surface,buxtehude_app_02_sonata_2violins_gamba_cembalo_c_major_full.mei,30,surface,,,,surface_335a6dd06640,Each referenced facsimile surface must have exactly one page break.,1,0,surface=#surface_335a6dd06640
error,facsimile,page_break_per_surface,buxtehude_app_02_sonata_2violins_gamba_cembalo_c_major_full.mei,52,surface,,,,surface_9ecf88c396cf,Each referenced facsimile surface must have exactly one page break.,1,0,surface=#surface_9ecf88c396cf
error,facsimile,page_break_per_surface,buxtehude_app_02_sonata_2violins_gamba_cembalo_c_major_full.mei,67,surface,,,,surface_827959877e2a,Each referenced facsimile surface must have exactly one page break.,1,0,surface=#surface_827959877e2a
error,facsimile,page_break_per_surface,buxtehude_app_02_sonata_2violins_gamba_cembalo_c_major_full.mei,99,surface,,,,surface_0672da5f60f6,Each referenced facsimile surface must have exactly one page break.,1,0,surface=#surface_0672da5f60f6
error,facsimile,page_break_per_surface,buxtehude_app_02_sonata_2violins_gamba_cembalo_c_major_full.mei,115,surface,,,,surface_063b7a979d06,Each referenced facsimile surface must have exactly one page break.,1,0,surface=#surface_063b7a979d06
error,facsimile,page_break_per_surface,buxtehude_app_02_sonata_2violins_gamba_cembalo_c_major_full.mei,130,surface,,,,surface_0f5c91be393d,Each referenced facsimile surface must have exactly one page break.,1,0,surface=#surface_0f5c91be393d
error,facsimile,page_break_per_surface,buxtehude_app_02_sonata_2violins_gamba_cembalo_c_major_full.mei,157,surface,,,,surface_02f1801a6f2f,Each referenced facsimile surface must have exactly one page break.,1,0,surface=#surface_02f1801a6f2f
error,facsimile,page_break_per_surface,buxtehude_app_02_sonata_2violins_gamba_cembalo_c_major_full.mei,182,surface,,,,surface_f3e02659e8fa,Each referenced facsimile surface must have exactly one page break.,1,0,surface=#surface_f3e02659e8fa
error,facsimile,page_break_per_surface,buxtehude_app_02_sonata_2violins_gamba_cembalo_c_major_full.mei,202,surface,,,,surface_5fecba8d35b2,Each referenced facsimile surface must have exactly one page break.,1,0,surface=#surface_5fecba8d35b2
error,facsimile,page_break_per_surface,buxtehude_app_02_sonata_2violins_gamba_cembalo_c_major_full.mei,219,surface,,,,surface_ef6810debb3c,Each referenced facsimile surface must have exactly one page break.,1,0,surface=#surface_ef6810debb3c
