severity,category,check,file,line,element,measure_n,staff_n,layer_n,xml_id,message,expected,actual,context
error,references,broken_internal_reference,11_buxtehude_sonatas_final/buxtehude_op1_03_sonata_a_minor_corr.mei,3607,rest,34,1,1,ljzbwr8,Reference '#z0bij7n1' in @facs does not resolve to an xml:id in this file.,,#z0bij7n1,
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op1_03_sonata_a_minor_corr.mei,786,layer,7,4,,f1pkyn05,Layer is underfull against the active meter.,16,12,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op1_03_sonata_a_minor_corr.mei,790,layer,7,4,,j1vrproh,Layer is underfull against the active meter.,16,12,
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op1_03_sonata_a_minor_corr.mei,799,layer,7,5,,og1wusp,Layer is underfull against the active meter.,16,12,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op1_03_sonata_a_minor_corr.mei,917,layer,8,4,,c11i23v1,Layer is underfull against the active meter.,16,8,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op1_03_sonata_a_minor_corr.mei,1117,layer,10,4,,q1onsbrg,Layer is underfull against the active meter.,16,8,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op1_03_sonata_a_minor_corr.mei,1364,layer,12,4,,h1sw9y7v,Layer is underfull against the active meter.,16,8,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op1_03_sonata_a_minor_corr.mei,3967,layer,37,1,,qjuiylx,Layer is overfull against the active meter.,16,18,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op1_03_sonata_a_minor_corr.mei,3998,layer,37,2,,ngwwyzn,Layer is overfull against the active meter.,16,18,
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op1_03_sonata_a_minor_corr.mei,4253,layer,39,4,,w1qohvac,Layer is underfull against the active meter.,16,4,No <space> found in this layer; a missing space/rest is a likely cause.
