severity,category,check,file,line,element,measure_n,staff_n,layer_n,xml_id,message,expected,actual,context
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op1_04_sonata_b_flat_major_corr.mei,777,layer,7,4,,ff0ps0n,Layer is underfull against the active meter.,16,4,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op1_04_sonata_b_flat_major_corr.mei,913,layer,9,4,,z1ro4rdz,Layer is underfull against the active meter.,16,4,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op1_04_sonata_b_flat_major_corr.mei,1281,layer,14,4,,skp6v4t,Layer is underfull against the active meter.,16,8,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op1_04_sonata_b_flat_major_corr.mei,1523,layer,17,2,,ihfkhfz,Layer is overfull against the active meter.,16,32,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op1_04_sonata_b_flat_major_corr.mei,2027,layer,23,1,,w1aphqiu,Layer is overfull against the active meter.,16,32,
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op1_04_sonata_b_flat_major_corr.mei,3761,layer,42,4,,h1s49me6,Layer is underfull against the active meter.,16,4,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op1_04_sonata_b_flat_major_corr.mei,4107,layer,47,1,,p1o41ik2,Layer is underfull against the active meter.,16,4,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op1_04_sonata_b_flat_major_corr.mei,5510,layer,64,2,,o1rkydpt,Layer is underfull against the active meter.,16,15,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op1_04_sonata_b_flat_major_corr.mei,7829,layer,89,5,,k1kwkca8,Layer is underfull against the active meter.,16,12,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op1_04_sonata_b_flat_major_corr.mei,10307,layer,120,1,,znirots,Layer is overfull against the active meter.,16,18,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op1_04_sonata_b_flat_major_corr.mei,10500,layer,122,1,,w1vrtr39,Layer is overfull against the active meter.,16,17,
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op1_04_sonata_b_flat_major_corr.mei,10564,layer,122,4,,r16jkwbj,Layer is underfull against the active meter.,16,8,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op1_04_sonata_b_flat_major_corr.mei,11774,layer,134,4,,oir3wvt,Layer is underfull against the active meter.,16,8,
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op1_04_sonata_b_flat_major_corr.mei,12350,layer,139,4,,x13in56i,Layer is underfull against the active meter.,16,8,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op1_04_sonata_b_flat_major_corr.mei,12591,layer,141,4,,k1jso96r,Layer is underfull against the active meter.,16,12,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op1_04_sonata_b_flat_major_corr.mei,13138,layer,146,4,,m1wok74f,Layer is underfull against the active meter.,16,8,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op1_04_sonata_b_flat_major_corr.mei,15119,layer,166,3,,i1lt9vob,Layer is underfull against the active meter.,16,12,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op1_04_sonata_b_flat_major_corr.mei,15673,layer,172,1,,q11y4u9f,Layer is underfull against the active meter.,16,4,No <space> found in this layer; a missing space/rest is a likely cause.
warning,verovio,verovio_log,11_buxtehude_sonatas_final/buxtehude_op1_04_sonata_b_flat_major_corr.mei,3380,layer,38,4,,,"Missing @n on <layer>, filled by order",,,load/render
warning,verovio,verovio_log,11_buxtehude_sonatas_final/buxtehude_op1_04_sonata_b_flat_major_corr.mei,10368,layer,120,5,,,"Missing @n on <layer>, filled by order",,,load/render
warning,verovio,verovio_log,11_buxtehude_sonatas_final/buxtehude_op1_04_sonata_b_flat_major_corr.mei,5813,note,67,4,2,r9s2x18,"Expected @tie median or terminal in note 'r9s2x18', skipping it",,r9s2x18,load/render
