severity,category,check,file,line,element,measure_n,staff_n,layer_n,xml_id,message,expected,actual,context
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op1_06_sonata_d_minor_corr.mei,819,layer,6,1,,stg33fp,Layer is overfull against the active meter.,16,20,
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op1_06_sonata_d_minor_corr.mei,907,layer,6,5,,c1k2a2ke,Layer is underfull against the active meter.,16,10,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op1_06_sonata_d_minor_corr.mei,936,layer,7,2,,b1405fqs,Layer is overfull against the active meter.,16,17,
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op1_06_sonata_d_minor_corr.mei,1096,layer,8,4,,d59zmwl,Layer is underfull against the active meter.,16,8,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op1_06_sonata_d_minor_corr.mei,1116,layer,8,5,,s1qclimq,Layer is underfull against the active meter.,16,8,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op1_06_sonata_d_minor_corr.mei,1379,layer,10,5,,o1fncv6e,Layer is overfull against the active meter.,16,17,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op1_06_sonata_d_minor_corr.mei,2319,layer,18,2,,gnw7354,Layer is overfull against the active meter.,16,17,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op1_06_sonata_d_minor_corr.mei,2658,layer,21,2,,r1xef6rk,Layer is overfull against the active meter.,16,24,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op1_06_sonata_d_minor_corr.mei,2744,layer,22,2,,e10z0ncr,Layer is overfull against the active meter.,16,24,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op1_06_sonata_d_minor_corr.mei,3020,layer,24,5,,upog3js,Layer is overfull against the active meter.,16,17,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op1_06_sonata_d_minor_corr.mei,3215,layer,26,2,,tyadabx,Layer is overfull against the active meter.,16,17,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op1_06_sonata_d_minor_corr.mei,3535,layer,29,2,,xt1qfxc,Layer is overfull against the active meter.,16,17,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op1_06_sonata_d_minor_corr.mei,3559,layer,29,3,,pn39bnb,Layer is overfull against the active meter.,16,17,
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op1_06_sonata_d_minor_corr.mei,3730,layer,30,4,,x1yfxtou,Layer is underfull against the active meter.,16,8,No <space> found in this layer; a missing space/rest is a likely cause.
