severity,category,check,file,line,element,measure_n,staff_n,layer_n,xml_id,message,expected,actual,context
error,references,broken_internal_reference,11_buxtehude_sonatas_final/buxtehude_op1_07_sonata_e_minor.mei,6804,tie,54,,,hkrenuc,Reference '#g14l41v3' in @startid does not resolve to an xml:id in this file.,,#g14l41v3,
error,references,broken_internal_reference,11_buxtehude_sonatas_final/buxtehude_op1_07_sonata_e_minor.mei,9686,tie,95,,,q11py98p,Reference '#p6jiwu8' in @startid does not resolve to an xml:id in this file.,,#p6jiwu8,
error,references,broken_internal_reference,11_buxtehude_sonatas_final/buxtehude_op1_07_sonata_e_minor.mei,10888,slur,107,,,h1gr3cxa,Reference '#amra66a' in @endid does not resolve to an xml:id in this file.,,#amra66a,
error,references,broken_internal_reference,11_buxtehude_sonatas_final/buxtehude_op1_07_sonata_e_minor.mei,11190,beamSpan,110,,,o13qfe1q,Reference '#nlh17dl' in @startid does not resolve to an xml:id in this file.,,#nlh17dl,
error,references,broken_internal_reference,11_buxtehude_sonatas_final/buxtehude_op1_07_sonata_e_minor.mei,11190,beamSpan,110,,,o13qfe1q,Reference '#s36uay7' in @endid does not resolve to an xml:id in this file.,,#s36uay7,
error,references,broken_internal_reference,11_buxtehude_sonatas_final/buxtehude_op1_07_sonata_e_minor.mei,13714,tie,135,,,o1jbz90p,Reference '#n99rh17' in @startid does not resolve to an xml:id in this file.,,#n99rh17,
error,references,broken_internal_reference,11_buxtehude_sonatas_final/buxtehude_op1_07_sonata_e_minor.mei,13714,tie,135,,,o1jbz90p,Reference '#r1vx9a1i' in @endid does not resolve to an xml:id in this file.,,#r1vx9a1i,
error,references,broken_internal_reference,11_buxtehude_sonatas_final/buxtehude_op1_07_sonata_e_minor.mei,13715,tie,135,,,fg6ctja,Reference '#ei45lz5' in @startid does not resolve to an xml:id in this file.,,#ei45lz5,
error,references,broken_internal_reference,11_buxtehude_sonatas_final/buxtehude_op1_07_sonata_e_minor.mei,13715,tie,135,,,fg6ctja,Reference '#gw8hp82' in @endid does not resolve to an xml:id in this file.,,#gw8hp82,
error,references,broken_internal_reference,11_buxtehude_sonatas_final/buxtehude_op1_07_sonata_e_minor.mei,13837,tie,136,,,c1tdi8f3,Reference '#helcbac' in @endid does not resolve to an xml:id in this file.,,#helcbac,
error,references,broken_internal_reference,11_buxtehude_sonatas_final/buxtehude_op1_07_sonata_e_minor.mei,14121,tie,138,,,anxuzlv,Reference '#z112lqn7' in @startid does not resolve to an xml:id in this file.,,#z112lqn7,
error,references,broken_internal_reference,11_buxtehude_sonatas_final/buxtehude_op1_07_sonata_e_minor.mei,14121,tie,138,,,anxuzlv,Reference '#gcjaswl' in @endid does not resolve to an xml:id in this file.,,#gcjaswl,
error,references,broken_internal_reference,11_buxtehude_sonatas_final/buxtehude_op1_07_sonata_e_minor.mei,14274,tie,139,,,w1mmrpul,Reference '#d1dvaqpu' in @endid does not resolve to an xml:id in this file.,,#d1dvaqpu,
error,references,broken_internal_reference,11_buxtehude_sonatas_final/buxtehude_op1_07_sonata_e_minor.mei,17814,slur,180,,,fi5recv,Reference '#h1x2nedb' in @endid does not resolve to an xml:id in this file.,,#h1x2nedb,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op1_07_sonata_e_minor.mei,5376,layer,38,4.0,,gwwgern,Layer is overfull against the active meter.,16.0,20,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op1_07_sonata_e_minor.mei,8653,layer,81,1.0,,dgwpuvc,Layer is overfull against the active meter.,12.0,16,
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op1_07_sonata_e_minor.mei,10907,layer,108,1.0,,z150pqcw,Layer is underfull against the active meter.,16.0,15,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op1_07_sonata_e_minor.mei,20295,layer,228,4.0,,o1dscwy5,Layer is overfull against the active meter.,6.0,18,
warning,cleanup,tie_missing_endpoint,11_buxtehude_sonatas_final/buxtehude_op1_07_sonata_e_minor.mei,3378,tie,23,,,kzc6hzx,Tie endpoint does not resolve to an xml:id.,both @startid and @endid resolve,startid=#is0eccq; endid=,safe cleanup
warning,cleanup,tie_pitch_mismatch,11_buxtehude_sonatas_final/buxtehude_op1_07_sonata_e_minor.mei,5736,tie,40,,,x1cyjih8,Tie endpoints do not have the same written pname/oct; automatic repair skipped.,"('d', '4')","('g', '4')",safe cleanup
warning,cleanup,tie_missing_endpoint,11_buxtehude_sonatas_final/buxtehude_op1_07_sonata_e_minor.mei,6804,tie,54,,,hkrenuc,Tie endpoint does not resolve to an xml:id.,both @startid and @endid resolve,startid=#g14l41v3; endid=#s107cfo9,safe cleanup
warning,cleanup,tie_pitch_mismatch,11_buxtehude_sonatas_final/buxtehude_op1_07_sonata_e_minor.mei,9685,tie,95,,,j13nvksl,Tie endpoints do not have the same written pname/oct; automatic repair skipped.,"('b', '4')","('g', '4')",safe cleanup
warning,cleanup,tie_missing_endpoint,11_buxtehude_sonatas_final/buxtehude_op1_07_sonata_e_minor.mei,9686,tie,95,,,q11py98p,Tie endpoint does not resolve to an xml:id.,both @startid and @endid resolve,startid=#p6jiwu8; endid=#d1sfrtus,safe cleanup
warning,cleanup,tie_missing_endpoint,11_buxtehude_sonatas_final/buxtehude_op1_07_sonata_e_minor.mei,13714,tie,135,,,o1jbz90p,Tie endpoint does not resolve to an xml:id.,both @startid and @endid resolve,startid=#n99rh17; endid=#r1vx9a1i,safe cleanup
warning,cleanup,tie_missing_endpoint,11_buxtehude_sonatas_final/buxtehude_op1_07_sonata_e_minor.mei,13715,tie,135,,,fg6ctja,Tie endpoint does not resolve to an xml:id.,both @startid and @endid resolve,startid=#ei45lz5; endid=#gw8hp82,safe cleanup
warning,cleanup,tie_missing_endpoint,11_buxtehude_sonatas_final/buxtehude_op1_07_sonata_e_minor.mei,13837,tie,136,,,c1tdi8f3,Tie endpoint does not resolve to an xml:id.,both @startid and @endid resolve,startid=#afomzi2; endid=#helcbac,safe cleanup
warning,cleanup,tie_missing_endpoint,11_buxtehude_sonatas_final/buxtehude_op1_07_sonata_e_minor.mei,14121,tie,138,,,anxuzlv,Tie endpoint does not resolve to an xml:id.,both @startid and @endid resolve,startid=#z112lqn7; endid=#gcjaswl,safe cleanup
warning,cleanup,tie_missing_endpoint,11_buxtehude_sonatas_final/buxtehude_op1_07_sonata_e_minor.mei,14274,tie,139,,,w1mmrpul,Tie endpoint does not resolve to an xml:id.,both @startid and @endid resolve,startid=#u1izpqm3; endid=#d1dvaqpu,safe cleanup
warning,cleanup,tie_cross_layer_note_roles,11_buxtehude_sonatas_final/buxtehude_op1_07_sonata_e_minor.mei,2523,note,17,4.0,2.0,g109m96g,Note-level @tie chain crosses layers; Verovio may leave the starting layer unresolved. Prefer an explicit <tie> for cross-layer ties.,same-layer @tie chain or explicit <tie>,"start=j1q3gf5e layer=1; end=g109m96g layer=2; pitch=('a', '4')",safe cleanup
warning,verovio,verovio_log,11_buxtehude_sonatas_final/buxtehude_op1_07_sonata_e_minor.mei,2516,note,17,4,1,c2u6atp,"Expected @tie median or terminal in note 'c2u6atp', skipping it",,c2u6atp,load/render
warning,verovio,verovio_log,11_buxtehude_sonatas_final/buxtehude_op1_07_sonata_e_minor.mei,6804,tie,54,,,hkrenuc,"Time spanning element 'tie' with @xml:id 'hkrenuc', @startid '#g14l41v3', and @endid '#s107cfo9' could not be matched.",,hkrenuc,load/render
warning,verovio,verovio_log,11_buxtehude_sonatas_final/buxtehude_op1_07_sonata_e_minor.mei,9686,tie,95,,,q11py98p,"Time spanning element 'tie' with @xml:id 'q11py98p', @startid '#p6jiwu8', and @endid '#d1sfrtus' could not be matched.",,q11py98p,load/render
warning,verovio,verovio_log,11_buxtehude_sonatas_final/buxtehude_op1_07_sonata_e_minor.mei,10888,slur,107,,,h1gr3cxa,"Time spanning element 'slur' with @xml:id 'h1gr3cxa', @startid '#g2lbsuh', and @endid '#amra66a' could not be matched.",,h1gr3cxa,load/render
warning,verovio,verovio_log,11_buxtehude_sonatas_final/buxtehude_op1_07_sonata_e_minor.mei,11190,beamSpan,110,,,o13qfe1q,"Time spanning element 'beamSpan' with @xml:id 'o13qfe1q', @startid '#nlh17dl', and @endid '#s36uay7' could not be matched.",,o13qfe1q,load/render
