severity,category,check,file,line,element,measure_n,staff_n,layer_n,xml_id,message,expected,actual,context
warning,meter,mixed_staff_meters,11_buxtehude_sonatas_final/buxtehude_op2_02_sonata_d_major_corr.mei,400,scoreDef,,,,,Different staff meters are active at the same scoreDef.,,12/8; 4/4,
warning,layering,duplicate_layer_n,11_buxtehude_sonatas_final/buxtehude_op2_02_sonata_d_major_corr.mei,9329,staff,148.0,,,v1sheni,Staff has duplicate layer numbers in the same measure.,,3,
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_02_sonata_d_major_corr.mei,9575,layer,151.0,4.0,,kbzw21y,Layer is underfull against the active meter.,16.0,12,No <space> found in this layer; a missing space/rest is a likely cause.
warning,facsimile,measure_facs,11_buxtehude_sonatas_final/buxtehude_op2_02_sonata_d_major_corr.mei,10554,measure,,,,l1jyuyhg,Measure @facs is not an internal zone reference.,,zone_2cfc5fd76c7f4cba8c,
warning,layering,duplicate_layer_n,11_buxtehude_sonatas_final/buxtehude_op2_02_sonata_d_major_corr.mei,10802,staff,165.0,,,j1w25vzh,Staff has duplicate layer numbers in the same measure.,,1,
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_02_sonata_d_major_corr.mei,11809,layer,173.0,4.0,,ufy1xfz,Layer is underfull against the active meter.,16.0,4,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_02_sonata_d_major_corr.mei,12539,layer,178.0,4.0,,lhcc2ty,Layer is underfull against the active meter.,16.0,8,No <space> found in this layer; a missing space/rest is a likely cause.
warning,facsimile,measure_facs,11_buxtehude_sonatas_final/buxtehude_op2_02_sonata_d_major_corr.mei,16544,measure,,,,x1nmdpt3,Measure @facs is not an internal zone reference.,,zone_d0e346e3caa24d99af,
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_02_sonata_d_major_corr.mei,16928,layer,215.0,2.0,,v1cileq8,Layer is underfull against the active meter.,24.0,16,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_02_sonata_d_major_corr.mei,17105,layer,217.0,2.0,,o1emfc9e,Layer is underfull against the active meter.,24.0,16,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_02_sonata_d_major_corr.mei,17195,layer,218.0,2.0,,lh0emri,Layer is underfull against the active meter.,24.0,16,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_02_sonata_d_major_corr.mei,17284,layer,219.0,2.0,,f1ioyphc,Layer is underfull against the active meter.,24.0,16,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_02_sonata_d_major_corr.mei,17392,layer,220.0,2.0,,d9w5549,Layer is underfull against the active meter.,24.0,16,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_02_sonata_d_major_corr.mei,17480,layer,221.0,2.0,,z1osk6w,Layer is underfull against the active meter.,24.0,16,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_02_sonata_d_major_corr.mei,17661,layer,223.0,2.0,,o11h001d,Layer is underfull against the active meter.,24.0,16,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_02_sonata_d_major_corr.mei,17739,layer,224.0,2.0,,m1nip34r,Layer is underfull against the active meter.,24.0,16,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_02_sonata_d_major_corr.mei,17817,layer,225.0,2.0,,ovol4b7,Layer is underfull against the active meter.,24.0,16,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_02_sonata_d_major_corr.mei,17957,layer,227.0,2.0,,l15eorc4,Layer is underfull against the active meter.,24.0,16,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_02_sonata_d_major_corr.mei,18058,layer,228.0,2.0,,n1tg453q,Layer is underfull against the active meter.,24.0,16,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_02_sonata_d_major_corr.mei,18144,layer,229.0,2.0,,n1a5zbmi,Layer is underfull against the active meter.,24.0,16,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_02_sonata_d_major_corr.mei,20251,layer,256.0,4.0,,s1qweb9,Layer is underfull against the active meter.,16.0,8,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_02_sonata_d_major_corr.mei,22637,layer,273.0,4.0,,h13oumcl,Layer is underfull against the active meter.,16.0,15,No <space> found in this layer; a missing space/rest is a likely cause.
info,facsimile,unused_measure_zone,11_buxtehude_sonatas_final/buxtehude_op2_02_sonata_d_major_corr.mei,209,zone,,,,zone_2cfc5fd76c7f4cba8c,Measure zone is not referenced by any <measure>@facs.,,#zone_2cfc5fd76c7f4cba8c,
info,facsimile,unused_measure_zone,11_buxtehude_sonatas_final/buxtehude_op2_02_sonata_d_major_corr.mei,266,zone,,,,zone_d0e346e3caa24d99af,Measure zone is not referenced by any <measure>@facs.,,#zone_d0e346e3caa24d99af,
warning,cleanup,tie_pitch_mismatch,11_buxtehude_sonatas_final/buxtehude_op2_02_sonata_d_major_corr.mei,9357,tie,148.0,,,zj7xd0h,Tie endpoints do not have the same written pname/oct; automatic repair skipped.,"('b', '4')","('g', '4')",safe cleanup
warning,cleanup,tie_pitch_mismatch,11_buxtehude_sonatas_final/buxtehude_op2_02_sonata_d_major_corr.mei,18384,tie,232.0,4.0,,t2vmafx2,Tie endpoints do not have the same written pname/oct; automatic repair skipped.,"('c', '4')","('a', '3')",safe cleanup
warning,cleanup,tie_pitch_mismatch,11_buxtehude_sonatas_final/buxtehude_op2_02_sonata_d_major_corr.mei,21152,tie,263.0,4.0,,tfpy48t2,Tie endpoints do not have the same written pname/oct; automatic repair skipped.,"('a', '4')","('d', '4')",safe cleanup
