severity,category,check,file,line,element,measure_n,staff_n,layer_n,xml_id,message,expected,actual,context
error,publication,cmn_relaxng_pi,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,5,mei,,,,,Publication MEI is missing its MEI 5.1 CMN RELAX NG xml-model declaration.,https://music-encoding.org/schema/5.1/mei-CMN.rng,"href=""https://music-encoding.org/schema/5.1/mei-all.rng"" type=""application/xml"" schematypens=""http://relaxng.org/ns/structure/1.0"" | href=""https://music-encoding.org/schema/5.1/mei-all.rng"" type=""application/xml"" schematypens=""http://purl.oclc.org/dsdl/schematron""",
error,publication,cmn_schematron_pi,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,5,mei,,,,,Publication MEI is missing its MEI 5.1 CMN Schematron xml-model declaration.,https://music-encoding.org/schema/5.1/mei-CMN.rng,"href=""https://music-encoding.org/schema/5.1/mei-all.rng"" type=""application/xml"" schematypens=""http://relaxng.org/ns/structure/1.0"" | href=""https://music-encoding.org/schema/5.1/mei-all.rng"" type=""application/xml"" schematypens=""http://purl.oclc.org/dsdl/schematron""",
warning,publication,cmn_meiversion,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,5,mei,,,,,Publication profile should identify the MEI version and customization.,5.1+CMN,5.1,
warning,publication,edition_statement,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,5,meiHead,,,,mrrmbfu,"Publication MEI should record a named, versioned edition.",edition text and semantic version in @n,,
warning,publication,editorial_declaration,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,5,meiHead,,,,mrrmbfu,Publication MEI should state its editorial policy.,,,
warning,publication,iiif_manifest,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,5,meiHead,,,,mrrmbfu,Source metadata should link the IIIF Presentation manifest.,,,
warning,publication,mei_license,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,5,meiHead,,,,mrrmbfu,Publication MEI should state reuse conditions.,,,
warning,publication,project_description,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,5,meiHead,,,,mrrmbfu,Publication MEI should identify its project context.,,,
warning,publication,publisher,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,5,meiHead,,,,mrrmbfu,Publication MEI should identify its publisher.,,,
warning,publication,repository_alt_id,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,5,meiHead,,,,mrrmbfu,meiHead should carry a non-empty repository-stem altId.,,,
warning,publication,revision_history,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,5,meiHead,,,,mrrmbfu,Publication MEI should record meaningful revisions.,,,
warning,publication,source_description,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,5,meiHead,,,,mrrmbfu,Publication MEI should describe its source.,,,
warning,publication,stable_identifier,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,5,meiHead,,,,mrrmbfu,Publication metadata has no URN identifier.,URN,,
warning,publication,stable_identifier,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,5,meiHead,,,,mrrmbfu,Publication metadata has no BSB-ID identifier.,BSB-ID,,
warning,publication,stable_identifier,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,5,meiHead,,,,mrrmbfu,Publication metadata has no BuxWV identifier.,BuxWV,,
warning,publication,work_description,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,5,meiHead,,,,mrrmbfu,Publication MEI should identify the encoded work.,,,
warning,publication,mdiv_work_link,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,285,mdiv,,,,c12z5iz3,Music division is not linked to a described work using @decls.,,,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,1034,layer,14.0,3.0,,b1h4imaq,Layer is overfull against the active meter.,12,15,
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,1110,layer,15.0,4.0,,zhx73r9,Layer is underfull against the active meter.,12,8,
warning,layering,duplicate_layer_n,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,1463,staff,22.0,,,l9aj0js,Staff has duplicate layer numbers in the same measure.,,1,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,1561,layer,24.0,4.0,,gqlnrpy,Layer is overfull against the active meter.,12,16,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,1621,layer,25.0,4.0,,d9a8xil,Layer is overfull against the active meter.,12,14,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,1788,layer,28.0,4.0,,b1jgkxre0,Layer is overfull against the active meter.,12,16,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,1795,layer,28.0,4.0,,qpkorow,Layer is overfull against the active meter.,12,16,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,1803,layer,28.0,4.0,,b11lxre0,Layer is overfull against the active meter.,12,16,
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,1859,layer,29.0,4.0,,l1508p58,Layer is underfull against the active meter.,12,4,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,2014,layer,33.0,1.0,,z1pz6n7k,Layer is overfull against the active meter.,12,16,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,2027,layer,33.0,2.0,,s9vom62,Layer is overfull against the active meter.,12,16,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,2036,layer,33.0,3.0,,bqv04vh,Layer is overfull against the active meter.,12,16,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,2059,layer,33.0,5.0,,torlbvy,Layer is overfull against the active meter.,12,16,
warning,rhythm,empty_layer,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,2064,layer,33.0,5.0,,y1wm4uke,Layer contains no timed musical events.,,,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,2071,layer,34.0,1.0,,t1opzc82,Layer is overfull against the active meter.,12,16,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,2081,layer,34.0,2.0,,h1o2qngs,Layer is overfull against the active meter.,12,16,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,2089,layer,34.0,3.0,,qrqzbug,Layer is overfull against the active meter.,12,16,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,2121,layer,35.0,1.0,,kcgp8ph,Layer is overfull against the active meter.,12,16,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,2129,layer,35.0,2.0,,w83w6qw,Layer is overfull against the active meter.,12,16,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,2139,layer,35.0,3.0,,g1xcsqkq,Layer is overfull against the active meter.,12,16,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,2162,layer,35.0,5.0,,hwpq4xp,Layer is overfull against the active meter.,12,16,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,2174,layer,36.0,1.0,,z9d4hmu,Layer is overfull against the active meter.,12,16,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,2182,layer,36.0,2.0,,mz6ddaq,Layer is overfull against the active meter.,12,16,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,2192,layer,36.0,3.0,,w1vzeeub,Layer is overfull against the active meter.,12,16,
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,3426,layer,49.0,4.0,,s1mh065i,Layer is underfull against the active meter.,16,8,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,3473,layer,50.0,2.0,,p132zm86,Layer is overfull against the active meter.,16,20,
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,3737,layer,52.0,4.0,,xjz7ea,Layer is underfull against the active meter.,16,10,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,4789,layer,62.0,4.0,,wwngiq7,Layer is underfull against the active meter.,16,12,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,4919,layer,64.0,1.0,,svuw511,Layer is overfull against the active meter.,16,17,
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,5095,layer,65.0,4.0,,a15gdwc7,Layer is underfull against the active meter.,16,12,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,5120,layer,65.0,4.0,,u4g5t6n,Layer is underfull against the active meter.,16,8,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,5524,layer,69.0,4.0,,v1ic6h1m,Layer is overfull against the active meter.,16,18,
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,5642,layer,70.0,4.0,,ze2aze0,Layer is underfull against the active meter.,16,8,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,6500,layer,79.0,4.0,,k12jh389,Layer is underfull against the active meter.,16,12,
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,6645,layer,82.0,4.0,,re33qct,Layer is underfull against the active meter.,12,8,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,6864,layer,86.0,5.0,,u1ezkyh1,Layer is underfull against the active meter.,12,8,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,8031,layer,107.0,4.0,,zb0qea1,Layer is underfull against the active meter.,12,4,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,8628,layer,117.0,4.0,,clmmuhc,Layer is underfull against the active meter.,12,8,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,9049,layer,124.0,4.0,,n1gqsp5z,Layer is underfull against the active meter.,12,8,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,9303,layer,128.0,4.0,,m10r3qa5,Layer is overfull against the active meter.,12,16,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,9431,layer,130.0,4.0,,a90oo4o,Layer is overfull against the active meter.,12,16,
warning,layering,duplicate_layer_n,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,9747,staff,135.0,,,wn98ag1,Staff has duplicate layer numbers in the same measure.,,1,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,10167,layer,142.0,4.0,,qpt3leq,Layer is overfull against the active meter.,12,16,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,10231,layer,143.0,4.0,,w50z7hf,Layer is overfull against the active meter.,12,16,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,10296,layer,144.0,4.0,,f1jghka2,Layer is overfull against the active meter.,12,16,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,10357,layer,145.0,4.0,,l19kr0er,Layer is overfull against the active meter.,12,16,
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,10371,layer,145.0,4.0,,v1sciwrs,Layer is underfull against the active meter.,12,8,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,10416,layer,146.0,4.0,,q1hpxkki,Layer is underfull against the active meter.,12,8,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,10555,layer,148.0,4.0,,p4j3oag,Layer is underfull against the active meter.,12,8,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,10613,layer,149.0,4.0,,rvrf2fc,Layer is underfull against the active meter.,12,8,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,10673,layer,150.0,4.0,,xulqnq8,Layer is underfull against the active meter.,12,8,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,10811,layer,152.0,5.0,,u12ghamn,Layer is underfull against the active meter.,12,8,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,10855,layer,153.0,4.0,,i15xz1yz,Layer is overfull against the active meter.,12,16,
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,10864,layer,153.0,4.0,,r4xw2aw,Layer is underfull against the active meter.,12,8,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,10922,layer,154.0,4.0,,m1qhjkoc,Layer is underfull against the active meter.,12,8,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,11282,layer,160.0,3.0,,qlo377l,Layer is underfull against the active meter.,12,4,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,11528,layer,164.0,4.0,,f93vhhk,Layer is underfull against the active meter.,12,8,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,11589,layer,165.0,4.0,,eirbncs,Layer is overfull against the active meter.,12,16,
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,11607,layer,165.0,4.0,,l19cle1a,Layer is underfull against the active meter.,12,8,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,11612,layer,165.0,5.0,,yulvsxy,Layer is overfull against the active meter.,12,16,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,11652,layer,166.0,3.0,,t9mlaab,Layer is overfull against the active meter.,12,16,
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,11794,layer,168.0,4.0,,z7734ki,Layer is underfull against the active meter.,12,8,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,11859,layer,169.0,4.0,,e1fhlcpj,Layer is underfull against the active meter.,12,8,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,12026,layer,172.0,4.0,,r1tkflrd,Layer is underfull against the active meter.,12,4,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,13675,layer,185.0,2.0,,v1is7jv4,Layer is overfull against the active meter.,16,17,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,14495,layer,191.0,1.0,,pqh2k2s,Layer is overfull against the active meter.,16,18,
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_04_sonata_c_minor_corr.mei,15624,layer,200.0,1.0,,hhk6iyl,Layer is underfull against the active meter.,16,15,No <space> found in this layer; a missing space/rest is a likely cause.
