severity,category,check,file,line,element,measure_n,staff_n,layer_n,xml_id,message,expected,actual,context
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_05_sonata_a_major_corr.mei,4377,layer,47,1,,s1e15dhh,Layer is underfull against the active meter.,64/3,12,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_05_sonata_a_major_corr.mei,4399,layer,47,3,,gmtin7w,Layer is underfull against the active meter.,64/3,12,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_05_sonata_a_major_corr.mei,4406,layer,47,4,,y1lgf5ja,Layer is underfull against the active meter.,64/3,12,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_05_sonata_a_major_corr.mei,4411,layer,47,4,,fyipygm,Layer is underfull against the active meter.,64/3,12,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_05_sonata_a_major_corr.mei,4421,layer,47,5,,l1vek8zx,Layer is underfull against the active meter.,64/3,12,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_05_sonata_a_major_corr.mei,4435,layer,48,1,,swpsi58,Layer is underfull against the active meter.,64/3,12,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_05_sonata_a_major_corr.mei,4457,layer,48,3,,u1yh7x8c,Layer is underfull against the active meter.,64/3,12,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_05_sonata_a_major_corr.mei,4464,layer,48,4,,a4c15x,Layer is underfull against the active meter.,64/3,12,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_05_sonata_a_major_corr.mei,4469,layer,48,4,,e1y4kmwm,Layer is underfull against the active meter.,64/3,12,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_05_sonata_a_major_corr.mei,4479,layer,48,5,,m1my3voc,Layer is underfull against the active meter.,64/3,12,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_05_sonata_a_major_corr.mei,4499,layer,49,1,,nvicj1l,Layer is underfull against the active meter.,64/3,12,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_05_sonata_a_major_corr.mei,4521,layer,49,3,,l1vipu9d,Layer is underfull against the active meter.,64/3,12,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_05_sonata_a_major_corr.mei,4528,layer,49,4,,e1wqee10,Layer is underfull against the active meter.,64/3,12,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_05_sonata_a_major_corr.mei,4533,layer,49,4,,ireb3t6,Layer is underfull against the active meter.,64/3,12,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_05_sonata_a_major_corr.mei,4547,layer,49,5,,qallr93,Layer is underfull against the active meter.,64/3,12,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_05_sonata_a_major_corr.mei,4568,layer,50,1,,i61532e,Layer is underfull against the active meter.,64/3,12,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_05_sonata_a_major_corr.mei,4592,layer,50,3,,c1ds8qtp,Layer is underfull against the active meter.,64/3,12,No <space> found in this layer; a missing space/rest is a likely cause.
