severity,category,check,file,line,element,measure_n,staff_n,layer_n,xml_id,message,expected,actual,context
error,references,broken_internal_reference,11_buxtehude_sonatas_final/buxtehude_op2_06_sonata_e_major_corr.mei,4565,tie,46,,,ocsdpqm,Reference '#q1qwjraw' in @endid does not resolve to an xml:id in this file.,,#q1qwjraw,
error,references,broken_internal_reference,11_buxtehude_sonatas_final/buxtehude_op2_06_sonata_e_major_corr.mei,5387,tie,52,,,dd8tmxz,Reference '#h1sgauai' in @endid does not resolve to an xml:id in this file.,,#h1sgauai,
error,references,broken_internal_reference,11_buxtehude_sonatas_final/buxtehude_op2_06_sonata_e_major_corr.mei,5557,tie,53,,,m1ghiyxa,Reference '#n1lo739i' in @endid does not resolve to an xml:id in this file.,,#n1lo739i,
error,references,broken_internal_reference,11_buxtehude_sonatas_final/buxtehude_op2_06_sonata_e_major_corr.mei,8709,tie,82,,,d5avtb7,Reference '#b1uj5yrt' in @startid does not resolve to an xml:id in this file.,,#b1uj5yrt,
error,references,broken_internal_reference,11_buxtehude_sonatas_final/buxtehude_op2_06_sonata_e_major_corr.mei,9218,tie,88,,,b96rlga,Reference '#ahfp8su' in @startid does not resolve to an xml:id in this file.,,#ahfp8su,
error,references,broken_internal_reference,11_buxtehude_sonatas_final/buxtehude_op2_06_sonata_e_major_corr.mei,11253,beamSpan,109,,,p6nm45b,Reference '#o1kol86q' in @startid does not resolve to an xml:id in this file.,,#o1kol86q,
error,references,broken_internal_reference,11_buxtehude_sonatas_final/buxtehude_op2_06_sonata_e_major_corr.mei,11253,beamSpan,109,,,p6nm45b,Reference '#svdleb0' in @endid does not resolve to an xml:id in this file.,,#svdleb0,
error,references,broken_internal_reference,11_buxtehude_sonatas_final/buxtehude_op2_06_sonata_e_major_corr.mei,11718,tie,114,,,ji2zyck,Reference '#k4mzfhp' in @endid does not resolve to an xml:id in this file.,,#k4mzfhp,
error,references,broken_internal_reference,11_buxtehude_sonatas_final/buxtehude_op2_06_sonata_e_major_corr.mei,11719,tie,114,,,n1rfsa07,Reference '#k4mzfhp' in @startid does not resolve to an xml:id in this file.,,#k4mzfhp,
error,references,broken_internal_reference,11_buxtehude_sonatas_final/buxtehude_op2_06_sonata_e_major_corr.mei,11719,tie,114,,,n1rfsa07,Reference '#q1hhg6pk' in @endid does not resolve to an xml:id in this file.,,#q1hhg6pk,
error,references,broken_internal_reference,11_buxtehude_sonatas_final/buxtehude_op2_06_sonata_e_major_corr.mei,15622,tie,159,,,i1x6tkyt,Reference '#fq8tixi' in @startid does not resolve to an xml:id in this file.,,#fq8tixi,
error,references,broken_internal_reference,11_buxtehude_sonatas_final/buxtehude_op2_06_sonata_e_major_corr.mei,15622,tie,159,,,i1x6tkyt,Reference '#m18s6n00' in @endid does not resolve to an xml:id in this file.,,#m18s6n00,
error,references,broken_internal_reference,11_buxtehude_sonatas_final/buxtehude_op2_06_sonata_e_major_corr.mei,15623,tie,159,,,k18rjwse,Reference '#j1rpv9zv' in @startid does not resolve to an xml:id in this file.,,#j1rpv9zv,
error,references,broken_internal_reference,11_buxtehude_sonatas_final/buxtehude_op2_06_sonata_e_major_corr.mei,15623,tie,159,,,k18rjwse,Reference '#x14dhm96' in @endid does not resolve to an xml:id in this file.,,#x14dhm96,
error,references,broken_internal_reference,11_buxtehude_sonatas_final/buxtehude_op2_06_sonata_e_major_corr.mei,15955,tie,162,,,d1ezu4mq,Reference '#c1udi9hz' in @startid does not resolve to an xml:id in this file.,,#c1udi9hz,
error,references,broken_internal_reference,11_buxtehude_sonatas_final/buxtehude_op2_06_sonata_e_major_corr.mei,17915,tie,178,,,x114009s,Reference '#b1fn5dno' in @endid does not resolve to an xml:id in this file.,,#b1fn5dno,
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_06_sonata_e_major_corr.mei,439,layer,3,1.0,,u1oht55x,Layer is underfull against the active meter.,16.0,15,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_06_sonata_e_major_corr.mei,4146,layer,43,4.0,,tjutr6j,Layer is underfull against the active meter.,16.0,14,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op2_06_sonata_e_major_corr.mei,10914,layer,106,4.0,,f1n0c0j2,Layer is overfull against the active meter.,12.0,14,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op2_06_sonata_e_major_corr.mei,12822,layer,126,5.0,,j7ezkcu,Layer is overfull against the active meter.,12.0,18,
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_06_sonata_e_major_corr.mei,16917,layer,171,2.0,,g127l4hl,Layer is underfull against the active meter.,16.0,15,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op2_06_sonata_e_major_corr.mei,18255,layer,181,5.0,,uoasfv4,Layer is overfull against the active meter.,16.0,18,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op2_06_sonata_e_major_corr.mei,18629,layer,184,5.0,,uytbzu8,Layer is overfull against the active meter.,16.0,18,
warning,cleanup,tie_missing_endpoint,11_buxtehude_sonatas_final/buxtehude_op2_06_sonata_e_major_corr.mei,4565,tie,46,,,ocsdpqm,Tie endpoint does not resolve to an xml:id.,both @startid and @endid resolve,startid=#ntr7pf4; endid=#q1qwjraw,safe cleanup
warning,cleanup,tie_missing_endpoint,11_buxtehude_sonatas_final/buxtehude_op2_06_sonata_e_major_corr.mei,5387,tie,52,,,dd8tmxz,Tie endpoint does not resolve to an xml:id.,both @startid and @endid resolve,startid=#c1mjhahz; endid=#h1sgauai,safe cleanup
warning,cleanup,tie_missing_endpoint,11_buxtehude_sonatas_final/buxtehude_op2_06_sonata_e_major_corr.mei,5557,tie,53,,,m1ghiyxa,Tie endpoint does not resolve to an xml:id.,both @startid and @endid resolve,startid=#l183eddk; endid=#n1lo739i,safe cleanup
warning,cleanup,tie_missing_endpoint,11_buxtehude_sonatas_final/buxtehude_op2_06_sonata_e_major_corr.mei,8709,tie,82,,,d5avtb7,Tie endpoint does not resolve to an xml:id.,both @startid and @endid resolve,startid=#b1uj5yrt; endid=#eozt69p,safe cleanup
